EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
0.11,0.18,3,-0.227619936,-0.203327183
2.43,1.83,7,-0.04279188,0.109225227
1.3,1.12,16,-0.02685596,0.04855579
0.99,0.98,5,-0.082117627,0.055237099
0.2,0.17,5,-0.092081865,0.044927539
2.58,2.56,4,-0.060293097,0.067913766
3.18,2.18,8,-0.070157388,0.022276224
2.13,2,4,-0.021632584,-0.042173812
0.83,0.8,8,0.065329885,-0.032357381
0.07,0.05,4,-0.080558759,0.035055323
1.1,1.05,2,-0.024259259,-0.010546584
-0.15,-0.48,5,-0.185017759,-0.163024727
0.62,0.6,10,-0.067455292,0.063089205
1.66,1.78,4,-0.07484388,-0.052242936
0.64,0.56,8,0.029231148,0.054328912
0.19,0.28,1,0.009845998,0.002985075
0.72,0.63,8,-0.075055454,0.037600214
1.15,1.42,7,-0.052790034,0.00702298
0.16,-0.25,2,-0.018833902,-0.00130464
0.92,0.91,9,-0.021559211,0.025572139
0.76,0.75,3,-0.085464333,-0.010638295
1.83,1.8,8,-0.198269721,-0.10919758
15.44,9.34,4,-0.080660036,-0.077200422
1.19,1.11,2,-0.154823994,-0.022486056
0.97,0.88,2,0.144024419,0.1121893
0.57,0.71,9,0.020488359,0.042963792
-0.01,-0.1,5,-0.155265356,-0.070393386
0.11,0.12,5,0.013870826,0.05604981
0.1,0.11,5,0.064993277,-0.03364671
1.54,1.24,4,-0.101435848,0.064834308
0.9,0.22,3,-0.090418322,0.086821749
0.44,0.5,8,-0.122287353,0.02495543
3.68,3.6,2,-0.010526076,-0.006437582
0.76,0.77,4,-0.010672359,0.037063692
-0.02,0.23,6,-0.049516221,0.097463284
0.22,0.58,6,-0.076195545,0.196561506
0.11,0.17,1,-0.166605976,-0.015387459
0.87,0.87,8,-0.05259356,-0.011721516
0.07,0.67,1,-0.05781299,0.021581028
0.46,0.69,3,-0.108666038,0.03175915
1.29,0.83,2,-0.119760479,0.012195122
1.72,1.46,2,0.00086564,0.081780911
-1.15,-1.09,7,0.145192308,0.136598471
0.51,0.48,6,-0.183497545,-0.021188588
-0.22,-0.33,6,0.087732624,0.080069626
-0.06,-0.16,3,-0.106164384,0.034938219
0.58,0.55,2,0.004745448,-0.133247118
-0.04,0.89,5,-0.144599307,0.014652783
0.64,0.63,2,-0.045808469,0.009108334
2.23,2.01,2,-0.131246406,-0.022568245
0.93,0.88,8,-0.145755068,-0.067258867
1.83,1.26,8,0.045929798,0.053276756
0.24,0.19,3,-0.125948945,0.019655024
-1.28,0.34,8,-0.189814779,0.004921268
0.13,0.08,2,-0.033907149,0.09980208
-0.09,-0.12,3,0.022608696,0.329758713
-0.04,0,4,-0.132656351,0.053217391
0.66,0.63,3,-0.003497723,0.06835333
