EPS,forecasted_eps,noOfEsts,after_total_returns,before_total_returns
-0.02,-0.02,3,-0.19047619,0.011695906
0.29,0.28,2,0.077857498,0.003804403
0.17,0.12,1,-0.091289782,-0.001656543
0.03,0.2,1,-0.175230545,0.021566344
-0.08,-0.1,1,-0.21603928,-0.086647727
0.86,0.82,2,-0.186309104,0.024759285
-0.03,-0.08,1,-0.103286369,-0.150258904
-0.04,-0.01,1,0.069364162,0.081871345
0.05,0.1,7,-0.25440806,-0.25
0.18,0.19,1,-0.184488815,-0.002344684
0.02,0.03,4,-0.078549848,-0.010840109
0.77,0.73,9,-0.039692701,0.024539884
0.45,0.48,2,0.001697802,-0.019731329
0.05,0.06,3,-0.027522936,0.001497006
0.71,0.56,2,-0.071530245,-0.009483679
-0.05,-0.04,5,-0.068322981,-0.048076923
-0.18,-0.15,3,-0.095238095,-0.036363636
0.44,0.46,9,-0.027952481,-0.030551457
-0.08,-0.07,2,-0.053221289,-0.135416667
0.9,0.51,1,-0.108398842,-0.034546805
0.1,-0.01,1,-0.003370236,-0.050023143
-0.35,-0.32,3,0.373050847,-0.152046784
-0.22,-0.23,1,-0.188172043,0.077858881
1.32,1.27,11,0.007691029,0.030355948
1.82,1.66,2,-0.080256246,-0.004087891
0.14,0.21,1,0.051158793,0.04712039
0.09,0.16,1,0.011984022,-0.026075606
-0.16,-0.09,5,0.210213188,-0.043006263
0.06,0.01,4,0.012331841,0.018961597
-0.24,-0.15,1,0.182795699,0.198789572
-0.77,0.32,1,0.042203147,-0.138769671
-0.18,-0.16,1,-0.027027027,-0.073770492
-0.71,-0.73,5,0.237762238,-0.053923929
-0.17,-0.85,1,-0.060335821,-0.197278912
1.43,0.54,1,0.01196772,0.029736017
0.63,0.61,10,0.065205632,-0.035304232
0.97,0.92,8,0.001180266,0.006992432
1.33,1.17,4,0.006613877,0.059486242
-0.08,-0.02,10,0.065234452,-0.020717753
1.45,1.37,4,0.014924152,-0.029365942
1,1,11,0.037102109,0.017401866
0.94,0.96,7,0.026973383,0.042935214
0.25,0.25,7,0.023032579,-0.004022106
0.09,0.05,3,-0.030662747,0.009384742
0.91,0.85,7,-0.005130458,0.062178592
3.31,3.06,6,0.019411765,0.041907753
2.64,2.76,17,0.030780463,0.056841122
0.76,0.7,5,-0.041523116,0.033088976
1.05,1.05,6,0.023037394,0.011566966
0.43,0.43,9,0.016221871,-0.098663697
-0.23,-0.17,5,-0.024756183,-0.033809683
0.86,0.85,6,0.050579905,0.017446605
0.34,0.3,5,0.01919195,0.005905559
0.71,0.59,2,0.048403577,0.02952288
1.68,1.72,8,0.01435957,-0.048517225
0.58,0.59,1,0.037696774,0.099250921
